trip_id,operator,vehicle_type,start_station_id,end_station_id,start_time,end_time,duration_min,distance_km,fare_inr,user_type,day_type
TRP0000077,Bounce,E-Scooter,BLR013,BLR040,2025-01-01 09:33:00,2025-01-01 09:37:54,4.9,1.37,17.35,Subscriber,Weekday
TRP0000078,Yulu,Bicycle,BLR007,BLR007,2025-01-01 09:59:00,2025-01-01 10:06:24,7.4,1.52,8.7,Casual,Weekday
TRP0000079,Yulu,E-Bike,BLR018,BLR029,2025-01-01 00:55:00,2025-01-01 00:57:48,2.8,0.72,14.2,Subscriber,Weekday
TRP0000080,Yulu,E-Scooter,BLR022,BLR021,2025-01-01 12:00:00,2025-01-01 12:06:42,6.7,2.47,20.05,Subscriber,Weekday
TRP0000081,Bounce,Bicycle,BLR031,BLR021,2025-01-01 11:34:00,2025-01-01 11:37:54,3.9,0.71,6.95,Casual,Weekday
TRP0000082,Bounce,E-Bike,BLR028,BLR027,2025-01-01 00:55:00,2025-01-01 01:04:12,9.2,2.88,23.8,Casual,Weekday
TRP0000083,Yulu,Bicycle,BLR027,BLR027,2025-01-01 19:46:00,2025-01-01 19:49:36,3.6,0.74,6.8,Subscriber,Weekday
TRP0000084,Yulu,E-Scooter,BLR018,BLR018,2025-01-01 12:02:00,2025-01-01 12:11:06,9.1,2.23,23.65,Subscriber,Weekday
TRP0000085,Yulu,E-Bike,BLR035,BLR040,2025-01-01 08:09:00,2025-01-01 08:17:06,8.1,2.3,22.15,Casual,Weekday
TRP0000086,Yulu,E-Bike,BLR023,BLR024,2025-01-01 17:24:00,2025-01-01 17:31:36,7.6,2.08,21.4,Casual,Weekday
TRP0000087,Bounce,E-Bike,BLR042,BLR002,2025-01-01 08:59:00,2025-01-01 09:07:06,8.1,2.73,22.15,Casual,Weekday
TRP0000088,Yulu,E-Bike,BLR027,BLR012,2025-01-01 09:10:00,2025-01-01 09:15:00,5.0,1.66,17.5,Casual,Weekday
TRP0000089,Bounce,E-Bike,BLR006,BLR005,2025-01-01 11:49:00,2025-01-01 11:53:24,4.4,0.97,16.6,Casual,Weekday
TRP0000090,Bounce,Bicycle,BLR029,BLR011,2025-01-01 18:46:00,2025-01-01 18:53:42,7.7,1.56,8.85,Casual,Weekday
TRP0000091,Yulu,E-Scooter,BLR017,BLR014,2025-01-01 06:23:00,2025-01-01 06:31:54,8.9,2.83,23.35,Subscriber,Weekday
TRP0000092,Bounce,Bicycle,BLR029,BLR029,2025-01-01 21:32:00,2025-01-01 21:44:36,12.6,1.9,11.3,Casual,Weekday
TRP0000093,Yulu,Bicycle,BLR003,BLR012,2025-01-01 20:22:00,2025-01-01 21:08:36,46.6,8.67,28.3,Casual,Weekday
TRP0000094,Yulu,E-Scooter,BLR009,BLR008,2025-01-01 10:47:00,2025-01-01 10:52:30,5.5,1.8,18.25,Subscriber,Weekday
TRP0000095,Yulu,E-Bike,BLR035,BLR006,2025-01-01 10:42:00,2025-01-01 10:52:36,10.6,3.47,25.9,Subscriber,Weekday
TRP0000096,Yulu,Bicycle,BLR012,BLR013,2025-01-01 09:38:00,2025-01-01 10:03:18,25.3,3.63,17.65,Subscriber,Weekday
TRP0000097,Bounce,Bicycle,BLR034,BLR030,2025-01-01 19:32:00,2025-01-01 19:36:42,4.7,0.88,7.35,Casual,Weekday
TRP0000098,Yulu,E-Scooter,BLR015,BLR023,2025-01-01 18:47:00,2025-01-01 18:52:54,5.9,2.15,18.85,Casual,Weekday
TRP0000099,Bounce,E-Bike,BLR028,BLR001,2025-01-01 18:57:00,2025-01-01 19:03:36,6.6,1.63,19.9,Subscriber,Weekday
TRP0000100,Bounce,E-Scooter,BLR029,BLR021,2025-01-01 20:42:00,2025-01-01 20:55:18,13.3,3.33,29.95,Subscriber,Weekday
TRP0000101,Bounce,E-Scooter,BLR024,BLR008,2025-01-01 07:53:00,2025-01-01 08:02:42,9.7,2.9,24.55,Subscriber,Weekday
TRP0000102,Yulu,Bicycle,BLR016,BLR011,2025-01-01 10:56:00,2025-01-01 11:05:24,9.4,1.36,9.7,Subscriber,Weekday
TRP0000103,Bounce,Bicycle,BLR011,BLR012,2025-01-01 18:44:00,2025-01-01 18:46:00,2.0,0.3,6.0,Subscriber,Weekday
TRP0000104,Yulu,E-Scooter,BLR002,BLR028,2025-01-01 04:03:00,2025-01-01 04:10:24,7.4,2.56,21.1,Casual,Weekday
TRP0000105,Yulu,E-Bike,BLR016,BLR016,2025-01-01 14:27:00,2025-01-01 14:44:24,17.4,4.05,36.1,Subscriber,Weekday
TRP0000106,Bounce,E-Scooter,BLR028,BLR028,2025-01-01 07:36:00,2025-01-01 07:42:24,6.4,2.24,19.6,Casual,Weekday
TRP0000107,Yulu,E-Bike,BLR040,BLR040,2025-01-01 19:16:00,2025-01-01 19:27:18,11.3,2.84,26.95,Subscriber,Weekday
TRP0000108,Bounce,Bicycle,BLR036,BLR016,2025-01-01 12:12:00,2025-01-01 12:22:06,10.1,2.09,10.05,Subscriber,Weekday
TRP0000109,Bounce,Bicycle,BLR031,BLR026,2025-01-01 20:43:00,2025-01-01 20:45:00,2.0,0.3,6.0,Subscriber,Weekday
TRP0000110,Yulu,E-Scooter,BLR032,BLR011,2025-01-01 18:02:00,2025-01-01 18:10:30,8.5,2.32,22.75,Casual,Weekday
TRP0000111,Bounce,E-Scooter,BLR028,BLR032,2025-01-01 19:22:00,2025-01-01 19:24:00,2.0,0.5,13.0,Subscriber,Weekday
TRP0000112,Yulu,E-Scooter,BLR014,BLR027,2025-01-01 09:20:00,2025-01-01 09:24:18,4.3,1.28,16.45,Casual,Weekday
TRP0000113,Bounce,E-Bike,BLR039,BLR014,2025-01-01 11:12:00,2025-01-01 11:24:18,12.3,4.1,28.45,Casual,Weekday
TRP0000114,Bounce,Bicycle,BLR029,BLR001,2025-01-01 09:30:00,2025-01-01 09:32:06,2.1,0.31,6.05,Casual,Weekday
TRP0000115,Yulu,Bicycle,BLR025,BLR011,2025-01-01 20:53:00,2025-01-01 21:09:30,16.5,2.59,13.25,Casual,Weekday
TRP0000116,Bounce,E-Bike,BLR005,BLR006,2025-01-01 19:31:00,2025-01-01 19:52:48,21.8,5.57,42.7,Subscriber,Weekday
TRP0000117,Yulu,Bicycle,BLR022,BLR020,2025-01-01 23:18:00,2025-01-01 23:40:18,22.3,3.28,16.15,Casual,Weekday
TRP0000118,Yulu,E-Scooter,BLR022,BLR011,2025-01-01 09:04:00,2025-01-01 09:16:12,12.2,3.46,28.3,Subscriber,Weekday
TRP0000119,Bounce,E-Scooter,BLR036,BLR005,2025-01-01 12:17:00,2025-01-01 12:23:30,6.5,2.45,19.75,Casual,Weekday
TRP0000120,Yulu,E-Scooter,BLR025,BLR025,2025-01-01 22:53:00,2025-01-01 22:56:24,3.4,1.28,15.1,Subscriber,Weekday
TRP0000121,Yulu,E-Scooter,BLR019,BLR019,2025-01-01 12:45:00,2025-01-01 12:55:42,10.7,3.79,26.05,Subscriber,Weekday
TRP0000122,Yulu,E-Scooter,BLR041,BLR016,2025-01-01 12:19:00,2025-01-01 12:26:06,7.1,1.96,20.65,Subscriber,Weekday
TRP0000123,Bounce,Bicycle,BLR005,BLR016,2025-01-01 19:43:00,2025-01-01 20:04:30,21.5,3.18,15.75,Subscriber,Weekday
TRP0000124,Bounce,E-Scooter,BLR021,BLR040,2025-01-01 08:45:00,2025-01-01 08:55:00,10.0,2.58,25.0,Casual,Weekday
TRP0000125,Yulu,E-Scooter,BLR002,BLR027,2025-01-01 01:41:00,2025-01-01 01:43:24,2.4,0.87,13.6,Subscriber,Weekday
TRP0000126,Bounce,Bicycle,BLR031,BLR040,2025-01-01 11:11:00,2025-01-01 11:15:48,4.8,0.99,7.4,Subscriber,Weekday
TRP0000127,Bounce,Bicycle,BLR039,BLR038,2025-01-01 09:09:00,2025-01-01 09:18:18,9.3,1.47,9.65,Casual,Weekday
TRP0000128,Yulu,Bicycle,BLR016,BLR016,2025-01-01 11:55:00,2025-01-01 11:58:36,3.6,0.72,6.8,Subscriber,Weekday
TRP0000129,Bounce,Bicycle,BLR036,BLR010,2025-01-01 18:31:00,2025-01-01 18:37:00,6.0,0.91,8.0,Subscriber,Weekday
TRP0000130,Yulu,Bicycle,BLR016,BLR027,2025-01-01 06:01:00,2025-01-01 06:23:00,22.0,4.31,16.0,Subscriber,Weekday
TRP0000131,Bounce,E-Scooter,BLR039,BLR038,2025-01-01 07:22:00,2025-01-01 07:27:42,5.7,1.54,18.55,Subscriber,Weekday
TRP0000132,Bounce,E-Scooter,BLR031,BLR028,2025-01-01 10:21:00,2025-01-01 10:25:48,4.8,1.22,17.2,Casual,Weekday
TRP0000133,Yulu,E-Bike,BLR033,BLR033,2025-01-01 21:19:00,2025-01-01 21:30:36,11.6,2.88,27.4,Subscriber,Weekday
TRP0000134,Bounce,Bicycle,BLR001,BLR021,2025-01-01 18:59:00,2025-01-01 19:20:12,21.2,4.43,15.6,Casual,Weekday
TRP0000135,Yulu,Bicycle,BLR041,BLR012,2025-01-01 08:18:00,2025-01-01 08:25:12,7.2,1.37,8.6,Casual,Weekday
TRP0000136,Bounce,Bicycle,BLR030,BLR008,2025-01-01 07:37:00,2025-01-01 07:52:30,15.5,2.28,12.75,Casual,Weekday
TRP0000137,Yulu,E-Bike,BLR016,BLR038,2025-01-01 17:56:00,2025-01-01 18:00:36,4.6,1.2,16.9,Casual,Weekday
TRP0000138,Bounce,E-Scooter,BLR034,BLR011,2025-01-01 19:51:00,2025-01-01 19:54:24,3.4,0.85,15.1,Casual,Weekday
TRP0000139,Yulu,E-Bike,BLR016,BLR017,2025-01-01 18:12:00,2025-01-01 18:14:24,2.4,0.81,13.6,Subscriber,Weekday
TRP0000140,Bounce,E-Scooter,BLR036,BLR040,2025-01-01 21:44:00,2025-01-01 21:54:30,10.5,2.77,25.75,Subscriber,Weekday
TRP0000141,Bounce,Bicycle,BLR005,BLR002,2025-01-01 18:12:00,2025-01-01 18:27:30,15.5,3.23,12.75,Subscriber,Weekday
TRP0000142,Bounce,Bicycle,BLR030,BLR011,2025-01-01 16:51:00,2025-01-01 17:02:30,11.5,1.75,10.75,Subscriber,Weekday
TRP0000143,Yulu,Bicycle,BLR025,BLR026,2025-01-01 02:33:00,2025-01-01 02:38:06,5.1,1.13,7.55,Subscriber,Weekday
TRP0000144,Bounce,E-Scooter,BLR004,BLR020,2025-01-01 09:11:00,2025-01-01 09:18:42,7.7,2.11,21.55,Subscriber,Weekday
TRP0000145,Bounce,E-Bike,BLR013,BLR008,2025-01-01 21:05:00,2025-01-01 21:08:54,3.9,1.19,15.85,Subscriber,Weekday
TRP0000146,Bounce,Bicycle,BLR001,BLR001,2025-01-01 02:50:00,2025-01-01 03:07:24,17.4,3.65,13.7,Subscriber,Weekday
TRP0000147,Yulu,Bicycle,BLR022,BLR015,2025-01-01 17:36:00,2025-01-01 17:56:24,20.4,4.76,15.2,Casual,Weekday
TRP0000148,Yulu,Bicycle,BLR016,BLR015,2025-01-01 18:54:00,2025-01-01 19:14:42,20.7,2.96,15.35,Subscriber,Weekday
TRP0000149,Yulu,Bicycle,BLR026,BLR003,2025-01-01 22:23:00,2025-01-01 22:29:54,6.9,1.18,8.45,Subscriber,Weekday
TRP0000150,Yulu,E-Bike,BLR016,BLR016,2025-01-01 22:24:00,2025-01-01 22:38:12,14.2,3.64,31.3,Casual,Weekday
TRP0000151,Yulu,E-Scooter,BLR016,BLR022,2025-01-01 19:57:00,2025-01-01 20:07:36,10.6,2.83,25.9,Casual,Weekday
TRP0000152,Bounce,Bicycle,BLR031,BLR014,2025-01-01 10:11:00,2025-01-01 10:38:42,27.7,4.68,18.85,Casual,Weekday
TRP0000153,Yulu,E-Scooter,BLR002,BLR012,2025-01-01 20:20:00,2025-01-01 20:23:18,3.3,1.2,14.95,Casual,Weekday
TRP0000154,Bounce,Bicycle,BLR038,BLR038,2025-01-01 18:23:00,2025-01-01 18:34:30,11.5,1.73,10.75,Subscriber,Weekday
TRP0000155,Yulu,Bicycle,BLR035,BLR001,2025-01-01 18:39:00,2025-01-01 18:47:48,8.8,1.38,9.4,Subscriber,Weekday
TRP0000156,Bounce,E-Bike,BLR028,BLR027,2025-01-01 06:36:00,2025-01-01 06:44:42,8.7,2.11,23.05,Subscriber,Weekday
TRP0000157,Yulu,E-Scooter,BLR026,BLR026,2025-01-01 20:43:00,2025-01-01 20:47:54,4.9,1.42,17.35,Subscriber,Weekday
TRP0000158,Bounce,E-Scooter,BLR038,BLR038,2025-01-01 11:29:00,2025-01-01 11:31:48,2.8,1.07,14.2,Subscriber,Weekday
TRP0000159,Bounce,Bicycle,BLR010,BLR038,2025-01-01 08:36:00,2025-01-01 08:43:54,7.9,1.21,8.95,Subscriber,Weekday
TRP0000160,Bounce,Bicycle,BLR004,BLR003,2025-01-01 10:07:00,2025-01-01 10:09:00,2.0,0.42,6.0,Subscriber,Weekday
TRP0000161,Bounce,Bicycle,BLR013,BLR015,2025-01-01 20:53:00,2025-01-01 20:55:00,2.0,0.3,6.0,Subscriber,Weekday
TRP0000162,Yulu,Bicycle,BLR032,BLR031,2025-01-01 11:33:00,2025-01-01 11:47:30,14.5,2.81,12.25,Casual,Weekday
TRP0000163,Yulu,E-Scooter,BLR002,BLR008,2025-01-01 20:06:00,2025-01-01 20:08:06,2.1,0.57,13.15,Casual,Weekday
TRP0000164,Yulu,E-Bike,BLR026,BLR033,2025-01-01 08:34:00,2025-01-01 08:36:00,2.0,0.49,13.0,Subscriber,Weekday
TRP0000165,Bounce,Bicycle,BLR042,BLR042,2025-01-01 18:13:00,2025-01-01 18:18:30,5.5,0.95,7.75,Subscriber,Weekday
TRP0000166,Yulu,E-Bike,BLR035,BLR002,2025-01-01 21:03:00,2025-01-01 21:10:48,7.8,1.7,21.7,Subscriber,Weekday
TRP0000167,Bounce,Bicycle,BLR024,BLR021,2025-01-01 20:55:00,2025-01-01 20:57:00,2.0,0.39,6.0,Subscriber,Weekday
TRP0000168,Yulu,E-Scooter,BLR003,BLR007,2025-01-01 19:38:00,2025-01-01 19:49:30,11.5,3.63,27.25,Casual,Weekday
TRP0000169,Bounce,E-Bike,BLR034,BLR035,2025-01-01 09:17:00,2025-01-01 09:24:12,7.2,1.86,20.8,Subscriber,Weekday
TRP0000170,Yulu,Bicycle,BLR026,BLR029,2025-01-01 03:02:00,2025-01-01 03:08:06,6.1,0.94,8.05,Subscriber,Weekday
TRP0000171,Bounce,E-Scooter,BLR006,BLR040,2025-01-01 07:21:00,2025-01-01 07:23:48,2.8,0.99,14.2,Subscriber,Weekday
TRP0000172,Bounce,E-Scooter,BLR004,BLR008,2025-01-01 11:58:00,2025-01-01 12:03:54,5.9,1.55,18.85,Subscriber,Weekday
TRP0000173,Bounce,Bicycle,BLR039,BLR004,2025-01-01 16:46:00,2025-01-01 16:48:00,2.0,0.3,6.0,Casual,Weekday
TRP0000174,Bounce,Bicycle,BLR029,BLR029,2025-01-01 17:33:00,2025-01-01 17:41:36,8.6,1.26,9.3,Subscriber,Weekday
TRP0000175,Bounce,Bicycle,BLR034,BLR008,2025-01-01 03:10:00,2025-01-01 03:14:48,4.8,1.13,7.4,Casual,Weekday
TRP0000176,Yulu,E-Scooter,BLR037,BLR010,2025-01-01 09:47:00,2025-01-01 09:49:00,2.0,0.32,13.0,Casual,Weekday
TRP0000177,Yulu,E-Bike,BLR026,BLR026,2025-01-01 10:45:00,2025-01-01 10:54:12,9.2,2.14,23.8,Subscriber,Weekday
TRP0000178,Bounce,Bicycle,BLR024,BLR024,2025-01-01 08:20:00,2025-01-01 08:22:00,2.0,0.3,6.0,Subscriber,Weekday
TRP0000179,Bounce,Bicycle,BLR021,BLR030,2025-01-01 19:44:00,2025-01-01 19:50:00,6.0,1.04,8.0,Subscriber,Weekday
TRP0000180,Yulu,E-Scooter,BLR017,BLR010,2025-01-01 08:36:00,2025-01-01 08:38:00,2.0,0.7,13.0,Casual,Weekday
TRP0000181,Bounce,Bicycle,BLR021,BLR012,2025-01-01 17:18:00,2025-01-01 17:20:06,2.1,0.32,6.05,Subscriber,Weekday
