date,rainfall_mm,rain_flag,avg_temp_c,condition
2025-04-09,10.9,True,28.1,Rain
2025-04-10,0.0,False,29.9,Clear
2025-04-11,0.0,False,24.8,Clear
2025-04-12,0.0,False,28.4,Clear
2025-04-13,0.0,False,26.7,Clear
2025-04-14,0.0,False,25.8,Cloudy
2025-04-15,0.0,False,28.0,Clear
2025-04-16,0.0,False,31.0,Cloudy
2025-04-17,0.0,False,25.9,Clear
2025-04-18,0.0,False,27.6,Cloudy
2025-04-19,0.0,False,25.2,Clear
2025-04-20,20.0,True,27.2,Rain
2025-04-21,9.5,True,23.0,Rain
2025-04-22,0.0,False,29.4,Clear
2025-04-23,0.0,False,26.8,Clear
2025-04-24,0.0,False,29.5,Haze
2025-04-25,0.0,False,24.7,Cloudy
2025-04-26,19.8,True,28.6,Rain
2025-04-27,0.3,True,25.0,Rain
2025-04-28,0.0,False,29.6,Clear
2025-04-29,0.0,False,26.7,Clear
2025-04-30,13.8,True,26.8,Rain
2025-05-01,0.0,False,29.5,Cloudy
2025-05-02,0.0,False,23.1,Clear
2025-05-03,0.0,False,26.4,Cloudy
2025-05-04,0.0,False,28.7,Haze
2025-05-05,8.0,True,29.0,Rain
2025-05-06,0.0,False,31.2,Clear
2025-05-07,0.0,False,27.0,Clear
2025-05-08,0.0,False,27.1,Cloudy
2025-05-09,0.0,False,29.7,Clear
2025-05-10,0.0,False,27.3,Clear
2025-05-11,0.0,False,24.3,Cloudy
2025-05-12,0.0,False,27.3,Clear
2025-05-13,0.0,False,29.7,Haze
2025-05-14,0.0,False,23.6,Clear
2025-05-15,0.0,False,25.0,Clear
2025-05-16,0.0,False,30.3,Cloudy
2025-05-17,0.0,False,28.4,Clear
2025-05-18,0.0,False,28.5,Clear
2025-05-19,0.0,False,28.1,Cloudy
2025-05-20,0.0,False,27.0,Clear
2025-05-21,0.0,False,27.5,Cloudy
2025-05-22,5.6,True,29.9,Rain
2025-05-23,0.0,False,29.9,Cloudy
2025-05-24,0.0,False,26.5,Clear
2025-05-25,0.0,False,25.5,Cloudy
2025-05-26,0.0,False,29.3,Clear
2025-05-27,0.0,False,27.9,Clear
2025-05-28,0.0,False,28.2,Cloudy
2025-05-29,0.0,False,29.5,Cloudy
2025-05-30,43.7,True,30.7,Rain
2025-05-31,0.0,False,26.0,Haze
2025-06-01,0.0,False,23.7,Clear
2025-06-02,0.0,False,24.1,Cloudy
2025-06-03,28.1,True,26.1,Rain
2025-06-04,8.2,True,25.7,Rain
2025-06-05,0.0,False,19.4,Clear
2025-06-06,10.2,True,27.3,Rain
2025-06-07,11.0,True,23.5,Rain
2025-06-08,11.1,True,25.4,Rain
2025-06-09,0.0,False,23.5,Clear
2025-06-10,0.0,False,21.8,Clear
2025-06-11,0.0,False,24.0,Clear
2025-06-12,0.0,False,24.0,Clear
2025-06-13,13.0,True,22.9,Rain
2025-06-14,10.9,True,27.0,Rain
2025-06-15,30.8,True,19.9,Rain
2025-06-16,3.4,True,22.4,Rain
2025-06-17,25.5,True,26.5,Rain
2025-06-18,22.3,True,21.7,Rain
2025-06-19,8.6,True,25.0,Rain
2025-06-20,11.0,True,23.3,Rain
2025-06-21,0.0,False,23.3,Cloudy
2025-06-22,29.2,True,20.7,Rain
2025-06-23,0.0,False,27.5,Cloudy
2025-06-24,7.3,True,21.2,Rain
2025-06-25,4.0,True,27.5,Rain
2025-06-26,15.6,True,23.8,Rain
2025-06-27,12.9,True,26.2,Rain
2025-06-28,0.0,False,23.3,Clear
2025-06-29,12.8,True,22.8,Rain
2025-06-30,0.0,False,23.2,Haze
2025-07-01,8.5,True,22.4,Rain
2025-07-02,0.0,False,24.4,Clear
2025-07-03,0.0,False,22.0,Cloudy
2025-07-04,0.0,False,24.5,Cloudy
2025-07-05,0.0,False,26.0,Clear
2025-07-06,0.0,False,20.3,Clear
2025-07-07,4.0,True,23.3,Rain
2025-07-08,0.0,False,24.4,Clear
2025-07-09,5.9,True,21.3,Rain
2025-07-10,5.7,True,29.3,Rain
2025-07-11,0.0,False,22.3,Clear
2025-07-12,22.0,True,24.0,Rain
2025-07-13,0.0,False,22.7,Clear
2025-07-14,0.0,False,23.9,Cloudy
2025-07-15,41.3,True,25.0,Rain
2025-07-16,0.0,False,25.1,Clear
2025-07-17,0.0,False,22.5,Haze
2025-07-18,10.9,True,21.4,Rain
2025-07-19,11.1,True,25.6,Rain
2025-07-20,0.0,False,25.2,Cloudy
2025-07-21,0.0,False,23.9,Clear
2025-07-22,0.0,False,20.7,Haze
2025-07-23,18.3,True,24.4,Rain
2025-07-24,0.0,False,21.8,Haze
2025-07-25,0.0,False,26.1,Haze
2025-07-26,13.6,True,24.1,Rain
2025-07-27,0.0,False,24.2,Clear
2025-07-28,9.1,True,21.9,Rain
2025-07-29,0.0,False,26.6,Clear
2025-07-30,34.6,True,24.4,Rain
2025-07-31,0.0,False,24.5,Clear
2025-08-01,24.8,True,25.4,Rain
2025-08-02,0.0,False,24.1,Haze
2025-08-03,8.7,True,26.8,Rain
2025-08-04,0.0,False,23.1,Clear
2025-08-05,0.0,False,26.9,Clear
2025-08-06,3.7,True,22.2,Rain
2025-08-07,13.0,True,24.5,Rain
2025-08-08,0.0,False,26.0,Haze
2025-08-09,11.2,True,26.3,Rain
2025-08-10,38.1,True,23.0,Rain
2025-08-11,8.1,True,23.0,Rain
2025-08-12,0.0,False,23.7,Cloudy
2025-08-13,0.0,False,26.8,Cloudy
2025-08-14,8.3,True,22.6,Rain
2025-08-15,7.3,True,22.3,Rain
2025-08-16,0.0,False,24.3,Clear
2025-08-17,16.5,True,24.7,Rain
2025-08-18,0.0,False,23.6,Clear
2025-08-19,6.7,True,22.3,Rain
2025-08-20,13.2,True,17.0,Rain
2025-08-21,0.0,False,22.3,Cloudy
2025-08-22,21.7,True,27.7,Rain
2025-08-23,0.0,False,25.2,Cloudy
2025-08-24,0.0,False,26.2,Cloudy
2025-08-25,0.0,False,26.1,Cloudy
2025-08-26,0.0,False,26.3,Clear
2025-08-27,0.0,False,23.7,Clear
2025-08-28,0.0,False,24.3,Clear
2025-08-29,0.0,False,24.1,Clear
2025-08-30,31.4,True,24.0,Rain
2025-08-31,14.3,True,27.0,Rain
2025-09-01,15.7,True,25.1,Rain
2025-09-02,13.8,True,24.4,Rain
2025-09-03,18.0,True,23.3,Rain
2025-09-04,0.0,False,24.3,Clear
2025-09-05,0.0,False,22.9,Cloudy
2025-09-06,17.6,True,23.7,Rain
2025-09-07,0.0,False,19.9,Cloudy
2025-09-08,3.3,True,19.6,Rain
2025-09-09,0.0,False,22.0,Clear
2025-09-10,0.0,False,25.4,Cloudy
2025-09-11,21.2,True,23.8,Rain
2025-09-12,0.0,False,20.9,Haze
2025-09-13,7.4,True,22.6,Rain
2025-09-14,7.5,True,25.9,Rain
2025-09-15,10.1,True,24.5,Rain
2025-09-16,0.0,False,23.5,Cloudy
2025-09-17,0.0,False,25.3,Clear
2025-09-18,32.3,True,26.5,Rain
2025-09-19,19.1,True,24.7,Rain
2025-09-20,6.9,True,22.5,Rain
2025-09-21,0.0,False,24.0,Clear
2025-09-22,0.0,False,23.1,Clear
2025-09-23,1.8,True,28.9,Rain
2025-09-24,8.8,True,24.7,Rain
2025-09-25,18.9,True,23.5,Rain
2025-09-26,0.0,False,23.2,Clear
2025-09-27,35.7,True,25.8,Rain
2025-09-28,15.6,True,19.9,Rain
2025-09-29,5.4,True,23.4,Rain
2025-09-30,0.0,False,22.9,Clear
2025-10-01,20.2,True,27.6,Rain
2025-10-02,0.0,False,24.7,Cloudy
2025-10-03,0.0,False,26.1,Clear
2025-10-04,0.0,False,22.9,Clear
2025-10-05,0.0,False,28.2,Clear
2025-10-06,0.0,False,22.6,Clear
2025-10-07,7.7,True,23.0,Rain
2025-10-08,19.5,True,22.9,Rain
2025-10-09,0.0,False,27.5,Clear
2025-10-10,0.0,False,24.9,Haze
2025-10-11,0.0,False,25.2,Clear
2025-10-12,5.3,True,26.2,Rain
2025-10-13,0.0,False,23.8,Cloudy
2025-10-14,0.0,False,21.5,Haze
2025-10-15,3.2,True,20.9,Rain
2025-10-16,0.0,False,28.0,Clear
2025-10-17,0.0,False,23.7,Clear
2025-10-18,0.0,False,25.8,Haze
2025-10-19,35.1,True,26.8,Rain
2025-10-20,19.1,True,24.5,Rain
2025-10-21,13.1,True,26.3,Rain
2025-10-22,0.0,False,25.5,Clear
2025-10-23,0.0,False,18.3,Clear
2025-10-24,0.0,False,21.4,Cloudy
2025-10-25,29.3,True,20.9,Rain
2025-10-26,10.7,True,19.8,Rain
2025-10-27,0.0,False,24.5,Clear
2025-10-28,35.6,True,25.7,Rain
2025-10-29,10.3,True,28.2,Rain
2025-10-30,0.0,False,26.1,Clear
2025-10-31,16.0,True,24.1,Rain
2025-11-01,0.0,False,22.6,Clear
2025-11-02,22.4,True,23.8,Rain
2025-11-03,0.0,False,25.8,Clear
2025-11-04,0.0,False,24.7,Clear
2025-11-05,0.0,False,26.2,Clear
2025-11-06,0.0,False,21.9,Haze
2025-11-07,7.9,True,27.8,Rain
2025-11-08,24.5,True,25.0,Rain
2025-11-09,0.0,False,28.8,Cloudy
2025-11-10,0.0,False,23.9,Clear
2025-11-11,0.0,False,26.2,Clear
2025-11-12,0.0,False,26.4,Clear
2025-11-13,0.0,False,24.6,Haze
2025-11-14,7.0,True,26.0,Rain
2025-11-15,0.0,False,23.5,Cloudy
2025-11-16,0.0,False,23.5,Clear
2025-11-17,0.0,False,25.9,Cloudy
2025-11-18,0.0,False,23.4,Cloudy
2025-11-19,33.2,True,21.4,Rain
2025-11-20,0.0,False,20.7,Clear
2025-11-21,0.0,False,22.7,Clear
2025-11-22,3.8,True,26.2,Rain
2025-11-23,0.0,False,27.1,Clear
2025-11-24,0.0,False,19.0,Clear
2025-11-25,0.0,False,28.6,Clear
2025-11-26,0.0,False,26.0,Cloudy
2025-11-27,0.0,False,28.9,Cloudy
2025-11-28,0.0,False,25.5,Clear
2025-11-29,0.0,False,24.6,Clear
2025-11-30,0.0,False,22.5,Clear
2025-12-01,0.0,False,21.4,Clear
2025-12-02,0.0,False,22.4,Clear
2025-12-03,0.0,False,24.8,Cloudy
2025-12-04,0.0,False,20.0,Clear
2025-12-05,0.0,False,21.6,Clear
2025-12-06,0.0,False,20.8,Cloudy
2025-12-07,0.0,False,22.6,Haze
2025-12-08,0.0,False,22.4,Clear
2025-12-09,0.0,False,24.7,Haze
2025-12-10,0.0,False,22.1,Clear
2025-12-11,0.0,False,22.1,Cloudy
2025-12-12,0.0,False,19.5,Cloudy
2025-12-13,0.0,False,20.6,Cloudy
2025-12-14,0.0,False,20.7,Cloudy
2025-12-15,0.0,False,22.6,Cloudy
2025-12-16,0.0,False,23.3,Clear
2025-12-17,0.0,False,22.8,Clear
2025-12-18,0.0,False,23.9,Clear
2025-12-19,0.0,False,26.4,Cloudy
2025-12-20,0.0,False,20.4,Clear
2025-12-21,0.0,False,25.3,Cloudy
2025-12-22,0.0,False,23.1,Clear
2025-12-23,0.0,False,25.3,Clear
2025-12-24,0.0,False,20.8,Clear
2025-12-25,0.0,False,20.0,Clear
2025-12-26,0.0,False,22.5,Cloudy
2025-12-27,0.0,False,18.9,Clear
2025-12-28,0.0,False,24.5,Haze
2025-12-29,0.0,False,19.6,Cloudy
2025-12-30,0.0,False,20.6,Cloudy
2025-12-31,0.0,False,21.9,Clear
